04-21-2025 13:11 EDT,
Michigan,134.31
Miami (FL),313.1
Auburn,31.92
Syracuse,45.62
Protect Trans Kids University,36.25
Protect Trans Kids University,51.32
Nebraska,28.84
Michigan,260.75
Protect Trans Kids University,51.32
Minnesota,102.65
Penn State,41.28
Stanford,225.84
Northern Illinois,16.14
Penn State,37.14
Michigan,102.65
Southern Mississippi,25.66
Georgia Tech,58.51
Boise State,44.57
University of Denver,167.23
Protect Trans Kids University,51.32
William & Mary,68.4
Vanderbilt,43.88
Connecticut (UConn),20.67
Toledo,51.32
Western Michigan,166.3
Texas,45.49
Texas,97.59
Minnesota,34.24
Florida,506.76
Protect Trans Kids University,256.64
Minnesota,24.7
Tennessee,17.68
Texas Christian (TCU),52.81
Villanova,1088.04
Protect Trans Kids University,153.98
Michigan,134.48
Protect Trans Kids University,173.18
Colorado,53.38
Protect Trans Kids University,313.31
Protect Trans Kids University,51.32
Clemson,259.36
Georgia Tech,29.36
Tennessee,174.72
Clemson,43.5
Georgia Tech,29.36
Michigan,33.08
Louisiana Lafayette,51.32
Iowa,48
Carnegie Mellon,19
Kentucky,555.38
William & Mary,102.65
Louisiana State (LSU),372
Georgia Tech,83.81
Georgia Tech,5132.94
Protect Trans Kids University,49.77
Florida,10032
Penn,102.65
Protect Trans Kids University,147.21
Misericordia University,1437.2
Mississippi (Ole Miss),102.65
South Carolina,183.86
Boston College,14.5
Ohio State,149.62
Texas A&M,20.67
Protect Trans Kids University,26.07
Protect Trans Kids University,102.65
Kansas State,1231.8
Protect Trans Kids University,598.5
Delaware,61.59
Virginia Tech,38.15
Michigan,134.48
Tennessee,1026.58
South Carolina,166.3
Michigan,13.1
Protect Trans Kids University,45.78
Protect Trans Kids University,43.53
Penn State,58.03
Kansas,102.65
Protect Trans Kids University,102.65
Wake Forest,98.55
Cal (Berkeley),153.98
Austin Peay,31.99
Notre Dame,204.29
Oklahoma,24.94
Protect Trans Kids University,18.73
Michigan,13.44
Michigan,134.52
Michigan,134.31
Michigan State,30.79
Kentucky,38.49
Wisconsin,71.86
Michigan,130.1
Mississippi (Ole Miss),6.41
Northwestern,513.29
Michigan,13.44
Protect Trans Kids University,184.68
Washington,50.33
Michigan,13.1
Oregon,32.31
Michigan,20.14
Maryland,30.05
Miami (OH),10.26
Protect Trans Kids University,28.03
Michigan,153.98
Indiana,67.75
Kentucky,102.65
Protect Trans Kids University,51.32
Florida,513.29
Arkansas,51.32
Protect Trans Kids University,29.1
Protect Trans Kids University,365.85
Cal Poly,39.01
Protect Trans Kids University,461.96
Ohio State,51.32
Georgia,182.4
Southern Methodist (SMU),102.65
Michigan,108.81
Florida,25.66
Wisconsin,81.1
Cal (Berkeley),102.65
Tennessee,188.89
Protect Trans Kids University,56.46
Protect Trans Kids University,67
Georgia,66.8
Oregon,20.22
Michigan,537.24
Florida State,154.1
American University,76.5
Ohio State,73.1
Bowling Green,120.11
Michigan,13.44
Delaware,30.79
Thiel College,36.23
Colorado,102.65
Tennessee,297.72
Kennesaw State,35.93
Michigan,30.24
Maryland,30.05
Florida,102.65
Ohio,38.03
Protect Trans Kids University,51.32
Michigan,134.31
Michigan,13.44
Penn State,102.65
Michigan,134.31
Tennessee Tech,42.09
North Carolina (UNC),307.97
Michigan,13.44
Protect Trans Kids University,40.35
Kalamazoo College,51.32
Texas,503.02
Montana State,100.6
Georgia,51.32
Penn State,102.65
Michigan,140.64
Illinois,513.29
Washington,72.07
Protect Trans Kids University,22.58
Pittsburgh (Pitt),21.55
Protect Trans Kids University,54.75
Notre Dame,102.65
USC (University Of Southern California),102.65
SUNY Potsdam,51.32
Duquesne University,73.57
Davidson,345.96
Georgia,109.84
Charlotte,102.65
Virginia (UVA),700
Wisconsin,532.79
Indiana,11.31
Protect Trans Kids University,27.24
Carleton College,71.86
Michigan State,59.08
Protect Trans Kids University,102.65
Purdue,125.24
South Florida (USF),123.12
Protect Trans Kids University,102.65
Tulane,47.68
Virginia Tech,45.5
Protect Trans Kids University,51.32
Ohio State,595.4
Harvard,3006.87
Michigan,372.48
Virginia Tech,820.24
Illinois,43.36
Penn State,58.95
Michigan,42.27
Iowa,44.14
Michigan,45.23
Tennessee,24.17
Michigan,30.24
Florida,67.37
Michigan,13.1
Miami (OH),57.93
Protect Trans Kids University,20.79
Vanderbilt,79.16
Purdue,256.64
Pacific Lutheran University,43.25
Texas State,51.32
Florida,31.93
Florida,31.11
Clemson,15.39
Georgia Tech,28.98
Wilkes University,51.32
Clemson,75.39
Oregon,51.32
Minnesota,1026.58
Texas,128.87
Protect Trans Kids University,51.32
Texas A&M,102.65
Michigan,25.66
Minnesota,256.64
Bowling Green,120.11
Stanford,67.25
Cincinnati,51.32
Mississippi State,15.39
Protect Trans Kids University,42.8
Temple,27.82
Georgia Tech,1847.76
Boston College,20.53
Washington,332.61
Protect Trans Kids University,100.65
Kalamazoo College,50
Marshall,42.09
Georgetown,51.32
Florida,67.37
Boston College,102.65
Kansas,24.85
Michigan,41.06
North Carolina (UNC),130.27
Ohio State,48.8
Protect Trans Kids University,31.93
Michigan,13.44
Texas A&M,86.23
Cabrini University,51.32
Oklahoma,205.31
University of Alaska Fairbanks,185.81
Vanderbilt,41.42
Clemson,34.9
Kentucky,128.36
Michigan,13.44
Michigan,161.28
North Carolina State,51.74
Notre Dame,51.32
Louisiana State (LSU),28.21
Kalamazoo College,51.32
Georgia State,102.65
Florida,66.94
Baylor,201.21
Ohio State,102.65
Missouri (Mizzou),102.65
Virginia Tech,236.11
Florida State,215.58
Marquette,790.47
Protect Trans Kids University,102.65
Pittsburgh (Pitt),256.64
Georgia,152.34
Protect Trans Kids University,20.53
Soviet Cat University,51.32
Kalamazoo College,51.32
Southern Mississippi,41.35
Syracuse,10265.88
Wisconsin,53.99
Indiana,25.66
Wisconsin,102.65
Michigan,13.44
South Carolina,923.88
Michigan,154.85
Michigan Tech,177.29
Notre Dame,1006.05
Hendrix College,102.65
Purdue,102.65
Michigan State,256.64
Iowa,514.32
Michigan,13.44
Temple,55.64
Nebraska,533.98
Florida,102.65
Indiana,20.43
Michigan,13.44
Temple,102.65
Protect Trans Kids University,277.35
Memphis,21.17
Virginia Tech,179.97
Ithaca College,44.14
Protect Trans Kids University,123.12
Protect Trans Kids University,51.32
Ohio State,307.97
Clemson,51.32
Florida,1320.19
Wisconsin,1132.32
Michigan,403.55
Arkansas,20.53
Protect Trans Kids University,205.31
Central Michigan,102.65
Michigan,13.44
Michigan,84.18
Auburn,48.24
Protect Trans Kids University,38.84
Penn State,39.11
Amherst College,186.94
Auburn,51.32
Sterling College,63.64
Alabama,682.92
Protect Trans Kids University,50.5
Auburn,102.65
Northern Michigan,22.22
Florida,159.56
Michigan,102.65
Arkansas,92.17
Protect Trans Kids University,420.9
Protect Trans Kids University,533.23
Southern Mississippi,19.5
Michigan,513.29
Indiana,67.75
Michigan,19.63
Kansas State,102.65
Michigan,133.55
Protect Trans Kids University,153.98
Ohio State,35.14
Washington State,51.32
Ohio State,102.65
Florida,650.63
Kalamazoo College,20.53
North Carolina (UNC),25.37
James Madison,102.65
Marquette,241.54
West Virginia,73
Baylor,356
Central Michigan,25.66
Missouri (Mizzou),37.24
Navy,321.63
Maryland,382.94
Wesleyan,69.29
Protect Trans Kids University,107.21
Cincinnati,102.65
Fairleigh Dickinson,51.32
Miami (FL),215.58
Kent State,291.24
Princeton,24.2
Indiana,66
New Hampshire,102.65
Iowa,56.7
Ohio State,102.65
Vanderbilt,41.42
Princeton,80.72
Ohio State,43.29
Michigan,51.32
Michigan,27.92
Protect Trans Kids University,256.64
Boston College,45.62
Ohio State,133.13
Loyola Chicago ,207.16
Michigan,13.44
Kalamazoo College,20.53
Florida Atlantic (FAU),31.82
Michigan,13.1
South Carolina,34.16
Duke,250
Harvard,350.47
South Carolina,51.32
Syracuse,25.66
Protect Trans Kids University,318.69
Michigan,134.48
Florida,131.4
Washington,41.21
Protect Trans Kids University,51.32
Florida State,215.58
Oklahoma,204.29
Marquette,20.98
Clemson,636.48
Florida State,282.31
BYU,51.32
Georgia Southern,52.35
Protect Trans Kids University,48
Miami (FL),1231.8
Middle Tennessee State,46.51
West Virginia,14.26
Ohio,36.62
Mississippi State,155.2
Penn State,64.81
Michigan,53.79
South Florida (USF),39.35
Minnesota,25.35
Michigan,134.31
Kennesaw State,27.96
Protect Trans Kids University,95.81
Protect Trans Kids University,51.32
Protect Trans Kids University,51.32
Indiana,137.88
Notre Dame,616.97
BYU,228.74
Michigan,45.56
Florida,53.58
Arizona State,23.58
Michigan,53.79
Michigan,20.78
Protect Trans Kids University,1026.58
Minnesota,24.7
Protect Trans Kids University,95.8
Protect Trans Kids University,51.32
St. Bonaventure,51.32
Protect Trans Kids University,51.32
Oklahoma State,70.5
Protect Trans Kids University,68.26
Alabama,56.46
Michigan,134.48
East Carolina,26.9
Eastern Washington University,30.79
Minnesota,184.78
St. John's (MN),369.57
Protect Trans Kids University,24.63
Ohio State,148.85
Louisiana Lafayette,51.32
Arkansas,51.32
Protect Trans Kids University,102.65
Protect Trans Kids University,25.66
Protect Trans Kids University,102.65
Trinity University (TX),349.11
Memphis,30.01
Rice,256.64
Babson College,19.7
Michigan,13.44
Protect Trans Kids University,41.06
Washington,80.17
Wisconsin,206.96
Protect Trans Kids University,513.29
Notre Dame,25.66
Protect Trans Kids University,51.32
Washington State,24.83
Wisconsin,322.8
Illinois,222.76
Cal (Berkeley),25.66
Protect Trans Kids University,27.96
Colorado,156.01
Virginia (UVA),505
Michigan,133.55
Protect Trans Kids University,52.35
Rutgers,43.11
Protect Trans Kids University,51.32
Michigan,20.77
Protect Trans Kids University,103.36
Northern Iowa,20.53
Colorado State,382.91
Ohio State,129.81
Iowa,33.36
Bradley University,19.7
Northwestern,53.5
Georgia,25.66
Cal (Berkeley),77.56
Illinois,51.32
Georgia,53.73
Michigan,41.06
Michigan,176.57
Protect Trans Kids University,25.66
Arizona State,50.37
Syracuse,45.16
Louisiana Monroe,77.24
Georgia Tech,135.48
Wesleyan,256.64
Protect Trans Kids University,134.31
Minnesota,24.7
Ohio State,102.65
Michigan,134.48
Harvard,20.53
Clemson,304.18
Western Michigan,166.3
Wisconsin,21.95
Protect Trans Kids University,1231.8
Michigan,221.74
Michigan,268.96
Michigan,134.31
Minnesota,22.8
Notre Dame,50.66
Protect Trans Kids University,67.75
Protect Trans Kids University,92.39
Notre Dame,53.41
Protect Trans Kids University,133.55
Protect Trans Kids University,16.42
Michigan,64.17
Georgia,30.79
Northern Michigan,82.12
Pittsburgh (Pitt),159.86
Notre Dame,2053.17
Georgia,158.09
Michigan,19.63
Protect Trans Kids University,2.05
Michigan,13.44
Arizona State,49.07
Protect Trans Kids University,135.58
Buffalo,102.65
North Carolina State,36.23
Protect Trans Kids University,410.63
Ohio State,30.79
Protect Trans Kids University,359.81
Michigan,13.44
Michigan,13.44
Michigan,88.54
Connecticut (UConn),1026.58
Pittsburgh (Pitt),13.43
Wichita State,20.22
Western Kentucky,80
Cal (Berkeley),102.65
Protect Trans Kids University,126.38
Michigan,45.23
Westminster College (PA),102.65
Pittsburgh (Pitt),92.71
Virginia (UVA),35.93
Slippery Rock,31.95
Wisconsin,102.65
Protect Trans Kids University,51.32
Duke,51.32
Washington State,102.65
Protect Trans Kids University,19.46
Texas Tech,492.76
McNeese State,123.21
Miami (OH),6.83
Miami (OH),51.32
Minnesota,25.35
Michigan,30.24
Louisiana State (LSU),57.02
Nebraska,2068.57
Georgia,33.18
Georgetown,256.64
Florida,137.56
Virginia (UVA),102.65
Furman,49.58
Appalachian State,80.07
Michigan,20.15
Michigan,201.51
Georgia,258.8
Protect Trans Kids University,25.66
Pittsburgh (Pitt),13.43
Michigan,134.31
William & Mary,120.03
Northern Illinois,16.56
Texas Christian (TCU),118.05
Illinois,377.78
Michigan,31.04
Michigan,134.48
Protect Trans Kids University,51.32
Tulane,47.68
Protect Trans Kids University,20.53
West Virginia,61.86
Florida,67.37
Protect Trans Kids University,64
Appalachian State,35.23
Ohio State,2055.23
Baruch College,30.79
Ohio State,2067.54
Ohio State,2077.81
Florida,3079.68
Oklahoma,410.63
Maryland,30.05
UMass,102.65
Penn State,102.65
St. John's (MN),49.49
Cincinnati,63.23
San Diego State,28.74
James Madison,123.19
Cal (Berkeley),109.84
Cincinnati,52.4
Tennessee,28.74
Eckerd College,31.82
Georgetown,261.78
Penn State,205.28
Georgia,19.63
Houston,97.27
Pittsburgh (Pitt),13.43
Ohio State,76.42
Nebraska,35
Wofford,1026.58
Cal (Berkeley),162.2
UW Eau Claire,256.64
Virginia Tech,16.43
Eastern Illinois,51.32
Protect Trans Kids University,513.29
Michigan,13.44
Minnesota,199.67
Minnesota,51.32
Nebraska,51.32
Michigan State,26.17
Florida State,66.72
Minnesota,69.47
Memphis,112.92
Michigan,13.1
Embry-Riddle,59.33
Notre Dame,25.66
Georgia Tech,20.53
Florida,51.84
Michigan,30.24
Wisconsin,72.17
Arizona State,20.53
Protect Trans Kids University,205.31
Miami (FL),215.63
Providence College,99.57
NYU,256.64
Protect Trans Kids University,30.24
New Mexico,1129.24
Elon,20.53
Illinois,32.07
Auburn,51.32
Eastern Michigan,71.59
Indiana,677.66
Princeton,112.92
Pittsburgh (Pitt),13.43
Wilfrid Laurier University,20.77
Washington University in Saint Louis (WashU),47.26
RPI,144.72
Nebraska,102.65
Protect Trans Kids University,102.65
Carleton College,50
Vanderbilt,25.66
Charlotte,50.3
Duke,164.25
Missouri (Mizzou),104.71
Kansas City Art Institute,245.88
Protect Trans Kids University,228.92
Northwestern,1234.28
Princeton,43.41
Syracuse,390.1
Penn State,102.65
Iowa,129.08
Wisconsin,36.03
Georgia,53.73
Kansas State,16.43
Oregon,161.07
Clemson,49.27
Southern Illinois,36.21
Wayne State,71.54
Syracuse,51.32
Ohio State,71.86
Louisiana Monroe,32.91
Protect Trans Kids University,615.84
Notre Dame,50.66
Illinois,200.29
South Carolina,108.81
Michigan,1056
Louisiana State (LSU),30.03
Illinois,211.32
Virginia Tech,38.15
Georgetown,90.17
Texas A&M,292.57
Protect Trans Kids University,41.28
Southeastern Louisiana,5.64
Middlebury College,59.02
Texas A&M,344.93
Georgia Tech,53.83
Protect Trans Kids University,277.69
Ohio State,898.26
South Carolina,698.64
Kentucky,55.43
Colorado State,66
Texas A&M,147.82
SZD U Gold Trans Ams,2482.29
Georgia Tech,8.21
Protect Trans Kids University,30.03
West Virginia,51.32
Mercer,19.42
Washington & Lee,256.64
Louisville,107.79
Fordham,52.35
Alabama,25.66
University of Rhode Island,40.03
Nevada,35.22
Marshall,128.32
Cornell,25.66
Protect Trans Kids University,35.12
Furman,57.84
James Madison,41.06
New Mexico,51.74
Virginia (UVA),41.06
Florida,37.36
Randolph-Macon,41.06
Marquette,74.69
Michigan,41.06
Boston College,196.07
East Tennessee State,51.32
Cornell,105.43
Protect Trans Kids University,41.06
Radford,5.69
Maine,1026.58
Ohio State,42.3
Georgia State,78.7
Minnesota,24.7
Protect Trans Kids University,51.32
Cal (Berkeley),20.53
Appalachian State,153.98
Protect Trans Kids University,155.42
Notre Dame,199
Louisiana State (LSU),16
Providence College,54.85
University of Saskatchewan,113.95
Protect Trans Kids University,27.96
Florida,34.09
Michigan,63.64
Florida,67.37
Miami (FL),42.17
Protect Trans Kids University,72.39
Georgetown,100.03
Protect Trans Kids University,27.96
Protect Trans Kids University,25
Utah,175
Protect Trans Kids University,27.96
Vanderbilt,58.94
Georgia,51.32
Wake Forest,35.21
Davidson,325.42
Protect Trans Kids University,20.78
Texas A&M,102.65
Protect Trans Kids University,135.84
MIT,595.65
Duke,25.66
Georgia,398.16
Missouri (Mizzou),122.16
Georgia Southern,10.26
Maine,20.52
Indiana,246.36
Duke,800.64
Saginaw Valley State,20.67
Protect Trans Kids University,26.69
Georgetown,100.03
Wisconsin,731.44
Protect Trans Kids University,40.03
Bucknell,256.64
Kent State,10.26
Pittsburgh (Pitt),39.35
Michigan,13.1
Oklahoma,1026.58
Utah,513.29
Purdue,68.09
Protect Trans Kids University,51.32
Ohio,39.04
Protect Trans Kids University,102.65
Protect Trans Kids University,731.44
Virginia Tech,61.81
Florida,67.06
Georgia,53.73
Kalamazoo College,20.53
Arizona,25.66
Florida,31.93
Protect Trans Kids University,102.65
Protect Trans Kids University,41.42
Notre Dame,205.31
Fanshawe College,10
SZD U Gold Trans Ams,67.37
Boston University,144.74
Protect Trans Kids University,27.96
Kentucky,291.55
Toledo,44.57
Michigan,134.48
Western Michigan,20.69
Missouri (Mizzou),102.65
Cal (Berkeley),47.39
William & Mary,173.8
Protect Trans Kids University,64.16
Protect Trans Kids University,20.68
Georgia,122.16
Florida,37.07
Illinois State,22.72
Michigan,46.33
Texas Christian (TCU),71.21
Kenyon College,34.9
Protect Trans Kids University,51.32
Indiana,68.14
Pittsburgh (Pitt),51.32
UCF (Central Florida),50.73
Protect Trans Kids University,307.97
Protect Trans Kids University,79.04
Tufts,10.26
Pittsburgh (Pitt),40
Indiana,42.26
Protect Trans Kids University,24.63
Virginia (UVA),59.54
BYU,25.66
Stanford,20.53
Indiana State University,30.79
Protect Trans Kids University,20.53
Florida,67.37
Purdue,44.52
Colorado,64.01
Minnesota,24.74
Kalamazoo College,19.87
Georgia Tech,69.8
Michigan,256.64
Notre Dame,110.87
Notre Dame,102.67
Iowa,18.58
Protect Trans Kids University,25.66
Michigan State,159.36
Georgia Tech,51.32
Protect Trans Kids University,153.98
Alabama,102.65
Cal (Berkeley),25.87
Duke,870.52
Minnesota,103.33
Arkansas,123.19
Utah,62.36
Washington,89.31
Oklahoma,31.6
UCF (Central Florida),36.27
Nicholls State,24.83
Ohio,77.76
North Carolina (UNC),100
Baylor,521.5
Protect Trans Kids University,51.32
Stanford,39.36
Wayne State,51.32
Protect Trans Kids University,29.77
Utah,158.09
Indiana,66
USC (University Of Southern California),89.08
Iowa,56.7
Michigan,13.44
Boston College,28.87
Nebraska,48.25
